"shape","nameability","exp3A","exp3B","description_length","rt_different","rt_different_ci","rt_same","rt_same_ci","number_naming_responses","avg_words_per_response","percent_unique_words","simpson_diversity","modal_response_agreement","modal_response","association_value"
"pt24.01_high","high","yes","yes",4655.192283,619.358623928255,14.1356083550232,636.01728155879,20.397324747663,22,1.13636363636364,0.72,0.0333333333333333,0.136363636363636,"torch,tree",0.6
"pt24.01_low","low","yes","yes",5623.755057,685.985016025285,16.0855550118267,708.803405254873,33.0186538357136,22,1.22727272727273,0.888888888888889,0.0113960113960114,0.136363636363636,"frog",0.22
"pt24.02_high","high","yes","yes",4452.269038,639.174804538406,11.228830271105,674.384178233318,21.8337756694252,22,1.22727272727273,0.407407407407407,0.344729344729345,0.590909090909091,"bear",0.54
"pt24.02_low","low","yes","no",5886.290326,712.330439900183,17.9561626460091,742.845006980715,27.8148112542404,22,1.22727272727273,0.888888888888889,0.0142450142450142,0.0909090909090909,"bird",0.24
"pt24.03_high","high","yes","no",6388.127589,628.954724315519,17.3811498169218,663.92916798626,21.6182199112662,22,1.09090909090909,0.375,0.304347826086957,0.545454545454545,"swan",0.48
"pt24.03_low","low","yes","yes",5001.273178,664.845741761953,13.6547558694827,663.945817698359,15.7297949509085,22,1.40909090909091,0.967741935483871,0.0021505376344086,0.0454545454545455,"hair,boat,hourglass,big.mouth,cave,nan,wood,elephant,overhang,axe,hangman,crane,bird.'s.wing,womans.hair,finger.pointing.up,e,rock.arch,face,teeth,claw,bending.man,ant.eater",0.28
"pt24.04_high","high","yes","no",5038.969903,621.83166823546,15.3733950784745,689.804769999012,29.7202212509534,22,1.59090909090909,0.914285714285714,0.00840336134453781,0.0909090909090909,"lizard",0.48
"pt24.04_low","low","yes","yes",5421.375227,685.223072295509,20.4601034475872,682.832272687581,26.0054185616756,22,1.22727272727273,0.925925925925926,0.00854700854700855,0.0909090909090909,"dolphin",0.28
"pt24.05_high","high","yes","no",4431.535421,633.744081548547,13.8365326724868,658.735332157458,19.014933943647,22,1.18181818181818,0.615384615384615,0.0461538461538462,0.181818181818182,"heart",0.44
"pt24.05_low","low","yes","yes",5645.627914,705.715465159294,20.0275668121491,718.859908232706,21.4300805092304,22,1.40909090909091,0.806451612903226,0.0193548387096774,0.0909090909090909,"angel,person",0.28
"pt24.06_high","high","yes","yes",7487.877273,614.641658196181,14.4534417065983,688.678333368642,21.5514329161044,22,1.22727272727273,0.592592592592593,0.0541310541310541,0.227272727272727,"duck",0.42
"pt24.06_low","low","yes","no",5083.995935,697.411185187256,13.7825850443186,684.569713503938,26.0481937009085,22,1.45454545454545,0.65625,0.0383064516129032,0.136363636363636,"finger.pointing",0.28
"pt24.07_high","high","no","yes",6944.084683,638.487850032447,12.8825013825214,701.111978445603,30.002062848705,22,1.18181818181818,0.423076923076923,0.126153846153846,0.272727272727273,"frog",0.42
"pt24.07_low","low","no","no",6318.041051,709.25038380308,19.8286558105579,737.752134019426,27.6560453770898,22,1.22727272727273,0.925925925925926,0.0056980056980057,0.0909090909090909,"face,lightning",0.3
"pt24.08_high","high","no","no",5336.865562,609.788077486933,15.5093193570883,648.061090744469,26.4288605171022,22,1.31818181818182,0.862068965517241,0.0172413793103448,0.0909090909090909,"e,letter.e",0.42
"pt24.08_low","low","no","no",5194.932702,727.604053210308,24.8724632589108,737.136404858946,27.5848474221229,22,1.36363636363636,0.866666666666667,0.0114942528735632,0.136363636363636,"bat",0.32
